[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000703s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000643s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000459s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000781s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002867s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000686s ]
[ 2013-11-22T16:31:07+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000786s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000993s ]
[ 2013-11-22T16:31:48+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001116s ]
[ 2013-11-22T16:31:48+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:31:48+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003591s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003087s ]
[ 2013-11-22T16:31:48+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.004002s ]
