[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000851s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001526s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002577s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003332s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user` [ RunTime:0.002673s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user_info` [ RunTime:0.002554s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 110 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 42 行.
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_role` [ RunTime:0.003097s ]
[ 2013-11-22T15:53:47+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 46 行.
